"YEAR","INDICATOR_NAME","DATA_VALUE"
2003,"Spring_Chlorophylla_Peak_WCGOA_Satellite",133
2004,"Spring_Chlorophylla_Peak_WCGOA_Satellite",133
2005,"Spring_Chlorophylla_Peak_WCGOA_Satellite",125
2006,"Spring_Chlorophylla_Peak_WCGOA_Satellite",133
2007,"Spring_Chlorophylla_Peak_WCGOA_Satellite",141
2008,"Spring_Chlorophylla_Peak_WCGOA_Satellite",149
2009,"Spring_Chlorophylla_Peak_WCGOA_Satellite",133
2010,"Spring_Chlorophylla_Peak_WCGOA_Satellite",133
2011,"Spring_Chlorophylla_Peak_WCGOA_Satellite",133
2012,"Spring_Chlorophylla_Peak_WCGOA_Satellite",149
2013,"Spring_Chlorophylla_Peak_WCGOA_Satellite",125
2014,"Spring_Chlorophylla_Peak_WCGOA_Satellite",141
2015,"Spring_Chlorophylla_Peak_WCGOA_Satellite",149
2016,"Spring_Chlorophylla_Peak_WCGOA_Satellite",165
2017,"Spring_Chlorophylla_Peak_WCGOA_Satellite",109
2018,"Spring_Chlorophylla_Peak_WCGOA_Satellite",101
2019,"Spring_Chlorophylla_Peak_WCGOA_Satellite",165
2020,"Spring_Chlorophylla_Peak_WCGOA_Satellite",117
2021,"Spring_Chlorophylla_Peak_WCGOA_Satellite",149
2022,"Spring_Chlorophylla_Peak_WCGOA_Satellite",141
